cores,shift,branch,star,stickiness,seed,id 25,id 50,id 75,id 90,id 95,id 99
100,1,0,0,0,0,1,2,4,8,13,32
100,1,0,0,0.1,0,1,2,4,8,13,33
100,1,0,0,0.2,0,1,2,4,8,13,34
100,1,0,0,0.3,0,1,2,4,8,14,35
100,1,0,0,0.4,0,1,2,4,9,14,36
100,1,0,0,0.5,0,1,2,4,9,14,38
100,1,0,0,0.6,0,1,2,4,9,15,38
100,1,0,0,0.7,0,1,2,4,9,15,37
100,1,0,0,0.8,0,1,2,4,9,14,32
100,1,0,0,0.9,0,1,2,3,7,10,19
100,1,0,0,1,0,1,2,4,9,15,35
100,1,0,0.2,0,0,1,2,4,8,13,32
100,1,0,0.2,0.1,0,1,2,4,8,13,33
100,1,0,0.2,0.2,0,1,2,4,8,13,34
100,1,0,0.2,0.3,0,1,2,4,8,14,35
100,1,0,0.2,0.4,0,1,2,4,9,14,36
100,1,0,0.2,0.5,0,1,2,4,9,14,38
100,1,0,0.2,0.6,0,1,2,4,9,15,38
100,1,0,0.2,0.7,0,1,2,4,9,15,37
100,1,0,0.2,0.8,0,1,2,4,9,14,32
100,1,0,0.2,0.9,0,1,2,3,7,10,19
100,1,0,0.2,1,0,1,2,4,9,15,35
100,1,0,0.4,0,0,1,2,4,8,13,32
100,1,0,0.4,0.1,0,1,2,4,8,13,33
100,1,0,0.4,0.2,0,1,2,4,8,13,34
100,1,0,0.4,0.3,0,1,2,4,8,14,35
100,1,0,0.4,0.4,0,1,2,4,9,14,36
100,1,0,0.4,0.5,0,1,2,4,9,14,38
100,1,0,0.4,0.6,0,1,2,4,9,15,38
100,1,0,0.4,0.7,0,1,2,4,9,15,37
100,1,0,0.4,0.8,0,1,2,4,9,14,32
100,1,0,0.4,0.9,0,1,2,3,7,10,19
100,1,0,0.4,1,0,1,2,4,9,15,35
100,1,0,0.6,0,0,1,2,4,8,13,32
100,1,0,0.6,0.1,0,1,2,4,8,13,33
100,1,0,0.6,0.2,0,1,2,4,8,13,34
100,1,0,0.6,0.3,0,1,2,4,8,14,35
100,1,0,0.6,0.4,0,1,2,4,9,14,36
100,1,0,0.6,0.5,0,1,2,4,9,14,38
100,1,0,0.6,0.6,0,1,2,4,9,15,38
100,1,0,0.6,0.7,0,1,2,4,9,15,37
100,1,0,0.6,0.8,0,1,2,4,9,14,32
100,1,0,0.6,0.9,0,1,2,3,7,10,19
100,1,0,0.6,1,0,1,2,4,9,15,35
100,1,0,0.8,0,0,1,2,4,8,13,32
100,1,0,0.8,0.1,0,1,2,4,8,13,33
100,1,0,0.8,0.2,0,1,2,4,8,13,34
100,1,0,0.8,0.3,0,1,2,4,8,14,35
100,1,0,0.8,0.4,0,1,2,4,9,14,36
100,1,0,0.8,0.5,0,1,2,4,9,14,38
100,1,0,0.8,0.6,0,1,2,4,9,15,38
100,1,0,0.8,0.7,0,1,2,4,9,15,37
100,1,0,0.8,0.8,0,1,2,4,9,14,32
100,1,0,0.8,0.9,0,1,2,3,7,10,19
100,1,0,0.8,1,0,1,2,4,9,15,35
100,1,0,1,0,0,1,2,4,8,13,32
100,1,0,1,0.1,0,1,2,4,8,13,33
100,1,0,1,0.2,0,1,2,4,8,13,34
100,1,0,1,0.3,0,1,2,4,8,14,35
100,1,0,1,0.4,0,1,2,4,9,14,36
100,1,0,1,0.5,0,1,2,4,9,14,38
100,1,0,1,0.6,0,1,2,4,9,15,38
100,1,0,1,0.7,0,1,2,4,9,15,37
100,1,0,1,0.8,0,1,2,4,9,14,32
100,1,0,1,0.9,0,1,2,3,7,10,19
100,1,0,1,1,0,1,2,4,9,15,35
100,1,0.05,0,0,0,2,4,9,18,27,54
100,1,0.05,0,0.1,0,2,4,9,19,28,55
100,1,0.05,0,0.2,0,2,4,10,20,29,57
100,1,0.05,0,0.3,0,2,4,11,21,31,60
100,1,0.05,0,0.4,0,2,4,11,23,34,63
100,1,0.05,0,0.5,0,2,5,12,25,37,66
100,1,0.05,0,0.6,0,2,5,13,27,40,69
100,1,0.05,0,0.7,0,2,5,14,29,42,71
100,1,0.05,0,0.8,0,2,5,13,29,42,70
100,1,0.05,0,0.9,0,1,4,12,28,40,68
100,1,0.05,0,1,0,2,6,14,29,41,69
100,1,0.05,0.2,0,0,2,5,10,19,26,54
100,1,0.05,0.2,0.1,0,2,5,11,20,27,56
100,1,0.05,0.2,0.2,0,2,5,11,21,29,57
100,1,0.05,0.2,0.3,0,2,5,12,22,31,60
100,1,0.05,0.2,0.4,0,2,6,13,23,33,63
100,1,0.05,0.2,0.5,0,2,6,14,25,37,66
100,1,0.05,0.2,0.6,0,2,7,15,28,40,70
100,1,0.05,0.2,0.7,0,3,7,16,31,44,72
100,1,0.05,0.2,0.8,0,3,7,17,32,45,73
100,1,0.05,0.2,0.9,0,3,7,17,32,44,71
100,1,0.05,0.2,1,0,3,8,17,32,45,73
100,1,0.05,0.4,0,0,2,4,9,18,26,54
100,1,0.05,0.4,0.1,0,2,4,10,19,27,56
100,1,0.05,0.4,0.2,0,2,5,11,20,28,58
100,1,0.05,0.4,0.3,0,2,5,12,21,30,61
100,1,0.05,0.4,0.4,0,2,6,13,23,33,64
100,1,0.05,0.4,0.5,0,2,6,14,25,36,67
100,1,0.05,0.4,0.6,0,2,6,15,28,40,70
100,1,0.05,0.4,0.7,0,2,7,16,31,43,72
100,1,0.05,0.4,0.8,0,2,7,16,32,45,73
100,1,0.05,0.4,0.9,0,2,6,16,32,44,71
100,1,0.05,0.4,1,0,2,7,17,32,44,72
100,1,0.05,0.6,0,0,2,4,9,19,27,56
100,1,0.05,0.6,0.1,0,2,4,10,20,28,58
100,1,0.05,0.6,0.2,0,2,5,11,21,30,60
100,1,0.05,0.6,0.3,0,2,5,12,22,32,63
100,1,0.05,0.6,0.4,0,3,6,14,24,35,66
100,1,0.05,0.6,0.5,0,3,7,15,27,39,69
100,1,0.05,0.6,0.6,0,4,8,17,30,42,72
100,1,0.05,0.6,0.7,0,4,9,19,33,46,74
100,1,0.05,0.6,0.8,0,4,9,19,34,47,74
100,1,0.05,0.6,0.9,0,4,9,19,34,46,73
100,1,0.05,0.6,1,0,4,9,20,35,47,75
100,1,0.05,0.8,0,0,2,4,9,18,27,57
100,1,0.05,0.8,0.1,0,2,4,10,19,28,59
100,1,0.05,0.8,0.2,0,2,5,11,21,30,61
100,1,0.05,0.8,0.3,0,3,5,12,22,32,64
100,1,0.05,0.8,0.4,0,3,6,13,24,35,67
100,1,0.05,0.8,0.5,0,3,7,15,27,39,70
100,1,0.05,0.8,0.6,0,4,9,17,30,42,73
100,1,0.05,0.8,0.7,0,4,9,19,33,46,75
100,1,0.05,0.8,0.8,0,4,10,20,34,47,75
100,1,0.05,0.8,0.9,0,4,9,19,34,46,73
100,1,0.05,0.8,1,0,4,10,20,34,47,75
100,1,0.05,1,0,0,2,4,8,18,26,57
100,1,0.05,1,0.1,0,2,4,9,19,27,58
100,1,0.05,1,0.2,0,2,4,10,20,29,61
100,1,0.05,1,0.3,0,2,5,11,22,31,63
100,1,0.05,1,0.4,0,3,6,13,24,34,66
100,1,0.05,1,0.5,0,3,7,15,26,38,69
100,1,0.05,1,0.6,0,4,8,17,29,42,72
100,1,0.05,1,0.7,0,4,9,19,32,45,74
100,1,0.05,1,0.8,0,4,10,19,34,47,75
100,1,0.05,1,0.9,0,3,9,19,34,46,73
100,1,0.05,1,1,0,4,10,19,34,46,75
100,1,0.1,0,0,0,2,4,8,17,24,50
100,1,0.1,0,0.1,0,2,4,9,17,25,51
100,1,0.1,0,0.2,0,2,4,10,18,26,54
100,1,0.1,0,0.3,0,2,4,10,20,28,56
100,1,0.1,0,0.4,0,2,5,11,21,30,59
100,1,0.1,0,0.5,0,2,5,12,23,33,62
100,1,0.1,0,0.6,0,2,5,13,25,35,65
100,1,0.1,0,0.7,0,2,5,14,26,38,67
100,1,0.1,0,0.8,0,2,6,14,27,38,67
100,1,0.1,0,0.9,0,2,5,14,27,38,67
100,1,0.1,0,1,0,2,5,13,26,37,66
100,1,0.1,0.2,0,0,2,4,8,17,24,51
100,1,0.1,0.2,0.1,0,2,4,9,18,25,53
